"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"189",0.05,2,100,0.8,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"769",0.1,2,0,0.6,1,0.25,50,115.406400697899,0.0266401219035916,87.2050158063238,19.0108381660047,0.0325474810787236,12.8456929050762
"773",0.1,2,0,0.6,1,1,50,120.695334162293,0.026286641029814,90.4714627146231,18.5598775441744,0.0273371620088695,12.637232006815
"777",0.1,2,0,0.6,10,0.25,50,108.40148707481,0.0367456204350239,80.8367295506486,19.9344680404897,0.0425551631665496,11.20167186249
"781",0.1,2,0,0.6,10,1,50,118.130709699231,0.026386116304507,88.6285857577134,18.703777716589,0.0289382255228206,12.9713109586825
"785",0.1,2,0,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"789",0.1,2,0,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"793",0.1,2,0,0.8,1,0.25,50,114.992095794065,0.0353956545267578,86.5463117659386,18.7251687384403,0.0579634021282743,11.7514584726273
"797",0.1,2,0,0.8,1,1,50,121.182075648469,0.0235602081743933,90.7911214358225,19.323755543405,0.0203974270074145,13.1483362946554
"801",0.1,2,0,0.8,10,0.25,50,108.705867245086,0.0444544018451981,80.6593651694705,20.1963831332587,0.0717477035080166,11.0710348230271
"805",0.1,2,0,0.8,10,1,50,117.99396537405,0.0288301077573694,88.8245532732211,18.7655790287517,0.0318606080860762,12.7872679461963
"809",0.1,2,0,0.8,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"813",0.1,2,0,0.8,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"817",0.1,2,1,0.6,1,0.25,50,116.842602136348,0.0397381708796067,87.8389010573228,17.6690483217181,0.0628820793598089,12.2035375528425
"821",0.1,2,1,0.6,1,1,50,119.863412394223,0.0235721283210944,89.8763661315014,17.7787456585203,0.0278015048238421,11.8685000868704
"825",0.1,2,1,0.6,10,0.25,50,109.030641600743,0.0370972555656972,81.6849042234341,19.4578265785495,0.0382044118658468,10.7823782350194
"829",0.1,2,1,0.6,10,1,50,118.295637499192,0.0287937602481516,88.8739097957307,19.246253502889,0.0303227060213116,13.6168305663134
"833",0.1,2,1,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"837",0.1,2,1,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"841",0.1,2,1,0.8,1,0.25,50,115.977312246752,0.0290561309696896,86.9444125658883,17.9435531829745,0.0446695647129639,11.4163890119082
"845",0.1,2,1,0.8,1,1,50,121.557800903233,0.0300442868076017,91.3043674163823,19.8403286985258,0.0277667752840349,13.0480371891757
"849",0.1,2,1,0.8,10,0.25,50,108.176593922738,0.0459040970792319,80.430952640426,20.1740151452982,0.0536944879067773,11.5095845799836
"853",0.1,2,1,0.8,10,1,50,118.49184739463,0.029843977339047,89.0220324661918,18.8535649291659,0.037894896553785,12.9485016000078
"857",0.1,2,1,0.8,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"861",0.1,2,1,0.8,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"865",0.1,2,10,0.6,1,0.25,50,115.067138018458,0.0366804542367922,85.8992046979331,18.4141395235523,0.0477208024193548,12.2588936450681
"869",0.1,2,10,0.6,1,1,50,119.729978518534,0.0215942924647628,90.0130418794405,18.5841090878084,0.0219742420397508,12.406977693092
"873",0.1,2,10,0.6,10,0.25,50,109.16558907574,0.0316329171057048,81.6559322684832,19.0285366389729,0.0433964756373551,10.4589353606525
"877",0.1,2,10,0.6,10,1,50,117.80566568587,0.0278774467020411,88.6903323463478,18.8366653881303,0.0283392795272881,13.0206595596007
"881",0.1,2,10,0.6,100,0.25,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
"885",0.1,2,10,0.6,100,1,50,193.88653792358,NA,162.269407172079,22.0029563613035,NA,14.6503368650363
