pondday,temp,ph,do,chl,pc,amm,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDMI,NDWI,NDCI,NDTI,MNDWI,NDVI,mNDHI,cells_count,cells_prop,pond,day,dark_day
SRK1_3,28.6,8.96,3.86,477.38,22.65,0.08,379,453.916666666667,733.875,397.833333333333,789.541666666667,991.25,1047.54166666667,892.25,774.708333333333,789.583333333333,487.666666666667,322.833333333333,0.453122258443435,-0.0258650679564319,0.342085367287393,-0.317643138278131,0.395585572868467,0.344639080564999,-0.0902607854348782,24,1,SRK1,3,410.59754601227
SRK1_4,29.1,8.69,9.18,383.74,18.03,0.09,750.5,692.166666666667,928.75,605.083333333333,966.583333333333,1151.875,1196.66666666667,1053.75,958.458333333333,953.208333333333,599.458333333333,378.708333333333,0.364842029862369,-0.0147066480473161,0.233482265515072,-0.220816015026848,0.331666444421518,0.234874873851681,-0.0777031233773652,24,1,SRK1,4,612.44705527941
SRK1_5,29.6,8.6,4.66,401,17.01,0.3,736.411764705882,802.294117647059,1021.52941176471,642.941176470588,1038.17647058824,1178.94117647059,1216.11764705882,1000.70588235294,851.588235294118,1080.64705882353,384.352941176471,255.117647058824,0.480690258428991,0.0196906072268107,0.236796123682697,-0.230447674826323,0.490153151503255,0.211868398820547,-0.112340466210577,17,0.708333333333333,SRK1,5,643.150123631226
SRV1_1,28.6,8.31,3.75,213.31,6.27,0.06,321.166666666667,396,624.375,383.625,744.583333333333,616.541666666667,649.5,590.333333333333,532.5,908.875,407.083333333333,284.166666666667,0.219059082745285,0.0971272688944041,0.324352403342796,-0.246702301187239,0.294280082087798,0.148692378193547,-0.0233977309444925,24,1,SRV1,1,362.527132419342
SRV1_2,28.7,8.09,4.57,98.44,4.68,0.08,1226.04347826087,1098.08695652174,1183.13043478261,909.652173913043,1239.78260869565,1144.60869565217,1156.69565217391,1024.4347826087,1006.47826086957,1318.69565217391,584.95652173913,369.869565217391,0.297445498777698,0.0813164708544124,0.154162751413391,-0.131838371665456,0.363615592272205,0.0504017572723419,-0.0948101053113892,23,0.958333333333333,SRV1,2,910.69109947644
SRV1_3,29.4,8.66,3.32,185.66,8.58,0.11,325.625,412.541666666667,632.875,379.125,761.5,663.25,696.583333333333,587.333333333333,533.916666666667,567.791666666667,348.166666666667,233.208333333333,0.341636197216274,0.0858770571148282,0.339271756117299,-0.257194152186283,0.388892963041347,0.172340048400646,-0.0492527473904427,24,1,SRV1,3,410.59754601227
SRV1_4,29.3,8.33,5.4,139.9,4.9,0.13,1068.63636363636,860.909090909091,924.045454545455,727.909090909091,954.318181818182,867.318181818182,865.772727272727,728.181818181818,764.454545454545,1012.77272727273,507.090909090909,352.318181818182,0.220678923183199,0.139253025111158,0.136080768537512,-0.12818560798255,0.344266788098689,-0.0122739419112457,-0.0939953864737551,22,0.916666666666667,SRV1,4,612.44705527941
SRV1_5,30.2,8.31,6.75,132.31,5.84,0.13,818.590909090909,816.681818181818,841.454545454545,648.136363636364,863.409090909091,761,757.818181818182,618.954545454545,628.136363636364,888.727272727273,387.636363636364,263.727272727273,0.262392548656691,0.169627218422391,0.146333319032309,-0.137530017214419,0.408363275631187,-0.0338674728769621,-0.123297051630758,22,0.916666666666667,SRV1,5,643.150123631226
VMS1_1,28.7,8.2,2.7,335.43,10.17,0.28,362.0625,451,640.125,460.1875,855.6875,931.5,991.625,929.5,867.0625,1014.625,684.5625,470.3125,0.205303395019683,-0.118959925373237,0.310767685668917,-0.180060961700847,0.0763174215322173,0.29337041667959,-0.00771819139907562,16,1,VMS1,1,362.527132419342
VMS1_2,29.2,8.28,2.8,258.82,11.41,0.31,1653.5,1409.125,1428.25,1222.125,1517.5,1491.75,1490.25,1336.125,1403.75,1910.375,1013,729.875,0.171462799430601,0.0389583544673408,0.111170473214675,-0.0857217086068644,0.206484025038189,0.0465786961809897,-0.0796207316182738,8,0.5,VMS1,2,910.69109947644
VMS1_3,29.6,8.28,5.8,238.28,11.16,0.24,394.625,478.75,656.75,465.4375,833.25,921.6875,995.4375,887.6875,858.25,676.9375,660.4375,435.5625,0.238168915194133,-0.0855273668535556,0.291760304150193,-0.184907134681081,0.132832905245723,0.265358069324382,-0.0300210124145481,16,1,VMS1,3,410.59754601227
VMS1_4,29.6,8.33,5.7,371.9,14,0.21,824.375,771.625,926.875,707.875,1092.625,1206.875,1263.9375,1147.5,1129.1875,957.6875,768.5,492.5625,0.258570736080585,-0.0728215808718183,0.215794060513686,-0.139618627045213,0.176281747036054,0.209947315132701,-0.0494975556788954,16,1,VMS1,4,612.44705527941
VMS1_5,30.2,8.37,6.8,356.37,13.46,0.24,689.615384615385,744.692307692308,866.692307692308,625.230769230769,1009.53846153846,1112.07692307692,1173.84615384615,1030.92307692308,1004.30769230769,1010.07692307692,642.538461538462,415.846153846154,0.284715513282949,-0.0420433714604947,0.235093998073648,-0.164906171497031,0.229883712347078,0.203330419485157,-0.0911531414356349,13,0.8125,VMS1,5,643.150123631226
VPS3_1,28.8,8.16,3.7,126.37,3.97,0.18,334.291666666667,446.125,688.625,489.666666666667,860.333333333333,727.208333333333,787.291666666667,736.25,693.5,1077.16666666667,531.041666666667,378.041666666667,0.197873873225409,0.0481306290660443,0.286097947269469,-0.185869354627659,0.228676059798751,0.133918157364104,0.0310882422595642,24,1,VPS3,1,362.527132419342
VPS3_2,29.2,8.22,3.1,126.34,5.28,0.17,1576.61538461538,1414.92307692308,1335.15384615385,1055.07692307692,1246.46153846154,1054,987.769230769231,878.076923076923,860.769230769231,1363.38461538462,485.076923076923,325.384615384615,0.292903500820346,0.214102880059004,0.0833325885268484,-0.117131593052123,0.474623310299586,-0.100042301618806,-0.144261575472675,13,0.541666666666667,VPS3,2,910.69109947644
VPS3_3,29.4,8.21,4.6,85.9,4.04,0.28,389.041666666667,486.375,710.458333333333,509.625,912.083333333333,767.125,836.208333333333,734.125,721.5,825.458333333333,511.75,352.125,0.253548080264976,0.0558454841658356,0.291854758187127,-0.177586787644656,0.281691214611422,0.118262868506046,0.0104928093745396,24,1,VPS3,3,410.59754601227
VPS3_4,29.5,8.22,4,105.07,3.4,0.16,782.625,756.708333333333,971.875,738.875,1131.66666666667,980.125,1008.66666666667,914.583333333333,896.125,976.333333333333,608.75,401.541666666667,0.254207626322681,0.0620522699962025,0.212396594253415,-0.141296107161213,0.297729377550695,0.078033913619405,-0.017211158609142,24,1,VPS3,4,612.44705527941
VPS3_5,30.1,8.24,4.2,88.27,3.7,0.18,687.863636363636,766,953.272727272727,723.590909090909,1131.59090909091,956.590909090909,1007.86363636364,877.590909090909,855.090909090909,1144.54545454545,585.818181818182,403.681818181818,0.257580023109226,0.0752180000638421,0.222929709704397,-0.142711970360545,0.312566391979286,0.0662488516265926,-0.0346284045849229,22,0.916666666666667,VPS3,5,643.150123631226
VVR1_1,28.5,8.39,5.51,236.18,6.89,0.06,381.4,453.4,712.8,400.2,756.6,648.6,649.6,582.2,540.4,1146,534.6,372.2,0.0824128274135201,0.20475532359746,0.315058951367004,-0.294023430263149,0.271132355232929,0.0873723560133428,-0.0791893613683633,5,1,VVR1,1,362.527132419342
VVR1_2,29.5,8.54,7.62,136.97,6.81,0.04,1567,1413,1504.5,1080.25,1427.5,1269.5,1231,1042,1006.25,1715.25,556.25,347.75,0.30884854267819,0.181627540331161,0.138485752505031,-0.164135218867293,0.463086935411226,-0.0180490462180671,-0.13344980990422,4,0.8,VVR1,2,910.69109947644
VVR1_3,29.3,9.04,13.44,142.82,6.49,0.12,410.4,470.2,740.4,424.8,802.6,640.8,647.6,533.6,495.2,964,518.8,351.6,0.0876748777721467,0.280850843504968,0.315099082253838,-0.286266864000264,0.334911461134878,-0.00881696590988514,-0.0687393499413064,5,1,VVR1,3,410.59754601227
VVR1_4,28.3,8.66,3.25,139.85,4.16,0.05,783.4,693.6,948.8,615.4,956.8,787.8,777.4,677.8,679.8,1173.4,633,413.8,0.0674288440803964,0.2411302610524,0.216762092211428,-0.220400687463635,0.293765140738506,-0.0305734543312406,-0.0677861564836467,5,1,VVR1,4,612.44705527941
VVR1_5,29.7,8.85,7.57,80.05,3.65,0.05,881.2,945.4,1205.2,798.4,1168.6,917.6,936.4,775.4,753.4,1222.4,547.2,356.6,0.189521567645559,0.225355586335711,0.188016966312475,-0.201484503578202,0.388582479152878,-0.02840510583901,-0.0843604694467549,5,1,VVR1,5,643.150123631226
