pondday,temp,ph,do,chl,pc,amm,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDMI,NDWI,NDCI,NDTI,MNDWI,NDVI,mNDHI,cells_count,cells_prop,pond,day,dark_day
NRO1_5,30.5,8.26,5.2,104.24,6.31,0.43,672.818181818182,723.113636363636,795.75,665.545454545455,980.363636363636,898.204545454545,933.977272727273,819.954545454545,832.568181818182,1015.90909090909,586.5,406.477272727273,0.214005035210259,0.0299959072262221,0.194526704835108,-0.0950592406939121,0.23290037231307,0.0640864831357006,-0.048091090558972,44,0.956521739130435,NRO1,5,643.150123631226
NSR1_1,27.9,8.24,3.7,52.33,10.6,0.23,404.603448275862,622.01724137931,1012.48275862069,577.775862068965,1383.01724137931,1126.05172413793,1173.18965517241,1011.03448275862,816.793103448276,786.189655172414,331.896551724138,231.275862068966,0.548549282017067,0.0396059049619526,0.408011776569567,-0.272595700922881,0.55260375140297,0.229801131786533,-0.0372892017212683,58,1,NSR1,1,362.527132419342
NSR1_2,28.5,8.42,5.7,42.25,12.09,0.12,2188.83333333333,1759.66666666667,1775.83333333333,1555.5,1912.66666666667,1784,1778,1317.83333333333,1656.83333333333,2425.16666666667,1083.83333333333,919.666666666667,0.145089772882378,0.154557372623274,0.105134246906084,-0.077195622680381,0.289056051715177,-0.0781558668468976,-0.0745165711077372,6,0.103448275862069,NSR1,2,910.69109947644
NSR1_3,28.9,8.51,7.6,73.02,12.02,0.14,412.793103448276,577.586206896552,869.655172413793,537.810344827586,1192.91379310345,922.379310344828,971.241379310345,800.534482758621,678.293103448276,485.620689655172,288.327586206897,185.120689655172,0.564554001179925,0.0696232372233442,0.379985701409056,-0.237484099355993,0.57870660041591,0.168152490915079,-0.0376927988025908,58,1,NSR1,3,410.59754601227
NSR1_4,29.2,8.57,9.6,96.64,11.57,0.17,765.862068965517,772.48275862069,1004.22413793103,709.01724137931,1281.31034482759,1055.12068965517,1093.05172413793,933.241379310345,830.758620689655,683.568965517241,381.862068965517,238.344827586207,0.470458179542857,0.0533464779396821,0.287957221526875,-0.172892588828425,0.494882314546617,0.119271281564507,-0.0435172600257826,58,1,NSR1,4,612.44705527941
NSR1_5,29.7,8.51,4.1,103.71,10.89,0.3,641.592592592593,744.12962962963,906.481481481482,659.018518518518,1211.14814814815,996.259259259259,1037.5,861.388888888889,757.62962962963,776.333333333333,376.055555555556,270.574074074074,0.432753586124945,0.0397755405245153,0.296174744822993,-0.159203893976783,0.454597884105621,0.119332120081663,-0.0619390392385386,54,0.931034482758621,NSR1,5,643.150123631226
PKR1_1,29.7,8.18,4.8,257.05,7.33,0.21,417.8,476.7,664.9,451.2,842.6,889.7,955,870.8,863.2,1197.9,630.4,410.9,0.154743186021365,-0.079214760452275,0.306155625809763,-0.196143416547092,0.068963711377009,0.269435278727694,-0.031633023435331,10,1,PKR1,1,362.527132419342
PKR1_2,29.9,8.25,6.6,190.67,7.32,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,PKR1,2,910.69109947644
PKR1_3,30.5,8.33,8.1,228.51,9.81,0.25,364.3,432.8,613.4,414.2,833.5,839.7,941.2,797.4,809.8,1044.5,605.6,385.8,0.135186150276928,-0.0571015385254339,0.342274484320193,-0.205206369221575,0.0705573532986499,0.257438892189501,-0.0333599151889953,10,1,PKR1,3,410.59754601227
PKR1_4,30.5,8.25,2.8,36.69,1.13,1.08,924,897.7,1097.7,831.9,1201.9,1135.3,1194.6,1066.7,1099.1,1179.7,757.6,475.2,0.17341911745569,0.0507373316044004,0.18363093528196,-0.141887518583254,0.216701884168123,0.0892591146529821,-0.0418150085495728,10,1,PKR1,4,612.44705527941
PKR1_5,NA,NA,NA,NA,NA,NA,733.5,866.5,1046.25,798.25,1244,1282.5,1386.75,1251,1275,1479,741.5,441,0.293909088499369,-0.0747704751111852,0.220804509971891,-0.13767211156792,0.216760221133517,0.210906279575374,-0.0441622282653051,4,0.4,PKR1,5,643.150123631226
PNR1_1,28.3,8.34,2.87,182.11,7.64,0.14,360.320754716981,425.490566037736,591.150943396226,398.509433962264,737.509433962264,567.283018867925,581.358490566038,516.320754716981,455.943396226415,734.245283018868,359.905660377359,259.88679245283,0.241034805123213,0.12933348202702,0.305949668816486,-0.206746934430345,0.346153105169373,0.0774496079331893,-0.0456773150079371,53,1,PNR1,1,362.527132419342
PNR1_2,28.6,8.48,5.94,106.35,8.78,0.14,1137.29411764706,1008.43137254902,1108.94117647059,840.21568627451,1184.23529411765,1018.13725490196,1008.27450980392,861.078431372549,842.156862745098,1145.45098039216,460.647058823529,302.176470588235,0.346805996071022,0.136023269968116,0.170359559213947,-0.139262078530712,0.452380336362752,0.00269781308646634,-0.0925858407372451,51,0.962264150943396,PNR1,2,910.69109947644
PNR1_3,29.3,9.1,12.94,77.2,9.27,0.16,298.358490566038,372.528301886792,588.396226415094,370.11320754717,777.452830188679,514.471698113208,526.716981132075,426.207547169811,376.905660377359,473.528301886792,295.943396226415,204.377358490566,0.315098188652477,0.250560826343471,0.365519422354364,-0.242351996184265,0.488878959254897,-0.0166027819487916,-0.0182882071436266,53,1,PNR1,3,410.59754601227
PNR1_4,28.6,8.67,5.4,86.14,8.71,0.2,787.924528301887,724.150943396226,915.528301886792,665.037735849057,1059.92452830189,832.754716981132,836.094339622642,723.094339622642,676.245283018868,759.415094339623,429.716981132075,283.207547169811,0.321580344432993,0.146467576714261,0.230673220773772,-0.161949952877764,0.432126846229732,0.0141503502822533,-0.0461353757295889,53,1,PNR1,4,612.44705527941
PNR1_5,29.8,8.73,8.77,105.6,9.88,0.15,634.372549019608,700.549019607843,859.862745098039,628.843137254902,1043.8431372549,850.803921568627,876.941176470588,732.352941176471,672.588235294118,897.235294117647,421.686274509804,294.411764705882,0.325554051278376,0.0997234227143995,0.25018442487748,-0.158522404159789,0.402000387193395,0.0590534806245682,-0.0576780575044457,51,0.962264150943396,PNR1,5,643.150123631226
