"pondday","day.x","pond.x","temp","ph","do","chl","pc","amm","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","pond.y","day.y","pond","day"
"PKR1_1",1,"PKR1",29.7,8.18,4.8,257.05,7.33,0.21,421.857142857143,473.857142857143,657.571428571429,433.142857142857,820.714285714286,795.571428571429,842.428571428571,754,733.428571428571,1074.57142857143,545.285714285714,354.857142857143,"PKR1",1,"PKR1",1
"PKR1_2",2,"PKR1",29.9,8.25,6.6,190.67,7.32,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PKR1",2,"PKR1",2
"PKR1_3",3,"PKR1",30.5,8.33,8.1,228.51,9.81,0.25,363.75,427.5,605.625,407.125,823.375,803.875,898.625,761.625,762.5,999.25,578.5,372.625,"PKR1",3,"PKR1",3
"PKR1_4",4,"PKR1",30.5,8.25,2.8,36.69,1.13,1.08,924.111111111111,908.888888888889,1112.11111111111,849.111111111111,1222.22222222222,1159.44444444444,1225.33333333333,1106,1133.77777777778,1149.11111111111,782.222222222222,490.888888888889,"PKR1",4,"PKR1",4
"PKR1_5",5,"PKR1",NA,NA,NA,NA,NA,NA,724.5,859.5,1044.5,750.5,1210.5,1159.5,1251.5,1092,1063,1386,567,329.5,"PKR1",5,"PKR1",5
"PNR1_1",1,"PNR1",28.3,8.34,2.87,182.11,7.64,0.14,353.291666666667,415.625,578.291666666667,377.5625,712.333333333333,508.104166666667,512.625,443.354166666667,375.5625,663.041666666667,293.375,217.8125,"PNR1",1,"PNR1",1
"PNR1_2",2,"PNR1",28.6,8.48,5.94,106.35,8.78,0.14,1136.95454545455,1006.88636363636,1106.56818181818,832.181818181818,1174,989.409090909091,974.386363636364,824.704545454545,798.409090909091,1098.54545454545,411.977272727273,273.318181818182,"PNR1",2,"PNR1",2
"PNR1_3",3,"PNR1",29.3,9.1,12.94,77.2,9.27,0.16,294.04,366.02,580.54,355.3,760.82,474.22,479.38,375.76,319.74,424.36,246.18,171.5,"PNR1",3,"PNR1",3
"PNR1_4",4,"PNR1",28.6,8.67,5.4,86.14,8.71,0.2,786.254901960784,721.56862745098,912.882352941176,659.21568627451,1052.80392156863,809.509803921569,807.137254901961,692.137254901961,641.313725490196,740.862745098039,400.274509803922,266.509803921569,"PNR1",4,"PNR1",4
"PNR1_5",5,"PNR1",29.8,8.73,8.77,105.6,9.88,0.15,633.083333333333,698.25,857.3125,623.666666666667,1038.72916666667,832.333333333333,854.083333333333,707.166666666667,643.395833333333,877.833333333333,397.729166666667,279.5,"PNR1",5,"PNR1",5
"PRA1_1",1,"PRA1",29,8.36,3.3,358.49,11.2,0.19,283.285714285714,334.380952380952,507.333333333333,283.904761904762,621,528.571428571429,542.190476190476,449.190476190476,346.714285714286,685.238095238095,241.571428571429,185.666666666667,"PRA1",1,"PRA1",1
"PRA1_2",2,"PRA1",30,8.42,9.28,151.73,10.74,0.08,2185.33333333333,1628.33333333333,1771.33333333333,1767,2134,2200,2275.33333333333,1559.66666666667,2277.33333333333,3045,1846,1805.33333333333,"PRA1",2,"PRA1",2
"PRA1_3",3,"PRA1",29.8,8.61,3.9,180.58,10.31,0.17,320.434782608696,372.086956521739,525.95652173913,303.652173913043,624.913043478261,524,532.347826086957,415.739130434783,349.652173913043,468.826086956522,209.04347826087,136.217391304348,"PRA1",3,"PRA1",3
"PRA1_4",4,"PRA1",29.6,8.23,4.39,171.74,8.65,0.23,1035,832,826.25,640.5,806.5,695,667,566.75,561.25,904.75,352,236.25,"PRA1",4,"PRA1",4
"PRA1_5",5,"PRA1",31.2,8.29,11.59,124.1,6.84,0.29,778.714285714286,782.142857142857,781,566.285714285714,778.571428571429,657.714285714286,639.714285714286,522.428571428571,476.571428571429,813.285714285714,286.142857142857,193.285714285714,"PRA1",5,"PRA1",5
"SBR1_1",1,"SBR1",28.9,7.96,3.99,255.62,11.06,0.14,427.421052631579,450.315789473684,563.210526315789,358.315789473684,668.210526315789,515.473684210526,508.526315789474,417.526315789474,321.631578947368,732.789473684211,285.421052631579,219.789473684211,"SBR1",1,"SBR1",1
"SBR1_2",2,"SBR1",29.7,8.22,7.55,132.7,12.73,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SBR1",2,"SBR1",2
"SBR1_3",3,"SBR1",30.4,8.77,13.87,147.42,12.66,0.15,343.304347826087,391.913043478261,525.565217391304,313.391304347826,657.347826086957,499.95652173913,477.086956521739,350.173913043478,274.130434782609,505.652173913043,243.086956521739,184.565217391304,"SBR1",3,"SBR1",3
"SBR1_4",4,"SBR1",30.4,8.25,9.08,129.88,9.92,0.11,727.916666666667,649.125,774.5,545.875,859.25,752.791666666667,733.041666666667,616.916666666667,558.625,804.708333333333,404.625,276.416666666667,"SBR1",4,"SBR1",4
"SBR1_5",5,"SBR1",30.9,8.26,10.1,113.92,10.37,0.2,636.47619047619,679.333333333333,782.238095238095,548.190476190476,882.142857142857,764.47619047619,758.714285714286,606.047619047619,537.619047619048,921.095238095238,392.809523809524,300.571428571429,"SBR1",5,"SBR1",5
"SNR2_1",1,"SNR2",28.2,8.26,4.7,314.77,8.74,0.01,308,372,585.6,319.5,624.2,438,439.2,350.2,262.9,609.6,284.2,210.6,"SNR2",1,"SNR2",1
"SNR2_2",2,"SNR2",29,8.2,3.58,195.48,9.76,0.05,2165.875,1764.875,1657.75,1274.625,1515.875,1421.375,1345.375,1152.125,1141.625,2093.125,516.25,351.25,"SNR2",2,"SNR2",2
"SNR2_3",3,"SNR2",28.5,8.63,3.73,214.55,9.75,0.07,382.857142857143,429.142857142857,628.428571428571,345.857142857143,641.428571428571,511.428571428571,502.857142857143,365.571428571429,274,525.714285714286,230.714285714286,166.285714285714,"SNR2",3,"SNR2",3
"SNR2_4",4,"SNR2",28,8.38,3.82,199.88,8.94,0.07,715.454545454545,663.454545454545,887.909090909091,588.090909090909,917.727272727273,830.909090909091,834.181818181818,698.272727272727,616.181818181818,792.727272727273,464.909090909091,327.818181818182,"SNR2",4,"SNR2",4
"SNR2_5",5,"SNR2",29.2,8.62,6.72,308.93,14.26,0.15,630.5,700.5,895,555.5,958,910.5,945.5,753.5,615,676.5,281.5,209,"SNR2",5,"SNR2",5
"SRI1_1",1,"SRI1",28.6,8.2,2.7,138.97,4.88,0.44,354.730769230769,440.961538461538,643,407.692307692308,769,515.153846153846,528.192307692308,459,394.269230769231,625.730769230769,312.384615384615,216.307692307692,"SRI1",1,"SRI1",1
