"pondday","temp","ph","do","chl","pc","amm","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","AOT","dark","dark_filtered","B2_norm","B3_norm","B4_norm","dark_norm","transmission","B2_dehazed","B3_dehazed","B4_dehazed","B2_normalised","B3_normalised","B4_normalised","B5_normalised","NDMI","NDWI_b","NDCI_b","NDTI_b","MNDWI_b","NDVI_b","mNDHI_b","NDWI_dehazed","NDCI_dehazed","NDTI_dehazed","MNDWI_dehazed","NDVI_dehazed","NDWI_normalised","NDCI_normalised","NDTI_normalised","cells_count","cells_prop","pond","day","dark_day"
"SBR1_4",30.4,8.25,9.08,129.88,9.92,0.11,727.916666666667,649.125,774.5,545.875,859.25,752.791666666667,733.041666666667,616.916666666667,558.625,804.708333333333,404.625,276.416666666667,480,539.958333333333,500.55,0.412966918113242,0.423653981401891,0.268658159319412,0.268658159319412,0.731341840680588,308.151883895164,385.872906714153,-6.6317322004276e-14,860.680190930787,1110.55348437052,827.835911434638,1226.79897201599,0.26342454210389,0.133125649594586,0.225437752303088,-0.177789355653073,0.373768976529915,0.0448102304884509,-0.0912336082195714,-0.202795255544046,1,-1,0.0666055537560991,1,0.302384032090334,0.19663169075647,-0.150574760611117,24,0.96,"SBR1",4,612.44705527941
"SBR1_5",30.9,8.26,10.1,113.92,10.37,0.2,636.041666666667,676.333333333333,781.5,546.416666666667,881.916666666667,768.583333333333,761.75,608.25,542.375,952.041666666667,396.125,300.958333333333,552,540.083333333333,468.333333333333,0.494576477757465,0.441151566469094,0.258658777120316,0.258658777120316,0.741341222879684,435.71976100035,435.54400503955,1.8947806286936e-14,1025.36891045078,1252.2031725685,908.423385979495,1358.67611564731,0.265977799982925,0.151051903646891,0.238754161021392,-0.183221008864489,0.390772211909367,0.0318185291864328,-0.11291565274173,-0.130889148011527,1,-1,0.137670063076927,1,0.366858710468381,0.202555469304682,-0.165373724945136,24,0.96,"SBR1",5,643.150123631226
"SNR2_1",28.2,8.26,4.7,314.77,8.74,0.01,337.733333333333,429.666666666667,651.866666666667,444.466666666667,787.733333333333,758.466666666667,817.666666666667,757.733333333333,714.866666666667,947.4,689.666666666667,475,456,392.066666666667,271,0.316342904608182,0.380387228057575,0.215318303210981,0.215318303210981,0.784681696789019,171.545392867259,356.924074490159,0,1023.5032555185,1567.36394966739,1106.73970783533,1786.64852196265,0.0950290086696666,0.0813067983110828,0.294736513891405,-0.220233282729892,0.160191945726511,0.133516677446998,-0.0147951021643835,-0.167655107353707,1,-1,-0.0802179027417017,1,0.444652467506086,0.25168128753418,-0.203785998245968,15,1,"SNR2",1,362.527132419342
"SNR2_2",29,8.2,3.58,195.48,9.76,0.05,2143.66666666667,1762,1655,1274.22222222222,1514.33333333333,1428.44444444444,1352.33333333333,1167,1151.55555555556,2046.11111111111,524.555555555556,354.444444444444,438,1274.22222222222,NA,0.764093668690373,0.797206165703276,0.776491299343219,0.764093668690373,0.235906331309627,-5.05274834318293e-14,292.98671696416,86.6146145429772,1599.20130695226,1583.73205741627,1235.30995852857,1370.68549360367,0.380462337354498,0.173320905864509,0.0860360085999695,-0.129998421962913,0.519303279954601,-0.0443817581601032,-0.160667905010215,-0.59994381886553,0.894067230432019,-0.577904808888674,-0.286488985134652,0.865257539943062,0.151905193378335,0.0518786468788379,-0.123601607091243,9,0.6,"SNR2",2,910.69109947644
"SNR2_3",28.5,8.63,3.73,214.55,9.75,0.07,404,485.8,695.533333333333,485.2,823.2,835.6,883.666666666667,775.2,745.533333333333,791.6,690.133333333333,481.466666666667,504,431.066666666667,309,0.357306930693069,0.409174284248952,0.24275872685987,0.24275872685987,0.75724127314013,199.102991131807,366.807415259104,-3.03164900590976e-14,1576.76079195067,2489.38200906705,1981.21682319314,3034.27939550313,0.191314634965114,0.0806362295668745,0.273958357077978,-0.208989126478899,0.232154282417048,0.125266290804909,-0.0338888286417411,-0.186425317274864,1,-1,-0.00817577246203204,1,0.583124123933622,0.226111072123844,-0.146252796793329,15,1,"SNR2",3,410.59754601227
"SNR2_4",28,8.38,3.82,199.88,8.94,0.07,731.8,698.8,922.4,678.066666666667,1032.2,1060.8,1103.66666666667,996.6,963.933333333333,1043.53333333333,798.133333333333,534.533333333333,480,630.6,499.909090909091,0.444569662819231,0.504555755255138,0.333717687313975,0.333717687313975,0.666282312686025,249.059331098373,456.737200593931,-9.09494701772928e-14,926.544683107929,1322.62689991397,1028.30856334041,1473.72929754426,0.209469604500009,0.0338253400007496,0.214093486643809,-0.168849383945818,0.219872555986263,0.134702111401702,-0.0321434655401684,-0.276266036854513,1,-1,-0.0703845760519718,1,0.202470779189269,0.185167046156344,-0.14176686587866,15,1,"SNR2",4,612.44705527941
"SNR2_5",29.2,8.62,6.72,308.93,14.26,0.15,628.454545454545,703.727272727273,902.636363636364,627.909090909091,1005.63636363636,1035,1081.63636363636,905.090909090909,797.545454545455,810.181818181818,478.818181818182,350.363636363636,552,604.090909090909,NA,0.514608608941333,0.509532240268904,0.297235072619688,0.297235072619688,0.702764927380312,419.467648763449,531.516579842144,4.13406682624058e-14,1066.90004961685,1446.30085504945,1043.90538804504,1549.27802131623,0.384822866816875,0.0182732490548894,0.237607031357977,-0.189362339776732,0.389012955488412,0.172549706373263,-0.067952354479539,-0.233979656760938,1,-1,0.164875682471133,1,0.246474877995431,0.201423972897414,-0.171610251944593,11,0.733333333333333,"SNR2",5,643.150123631226
"SRI1_1",28.6,8.2,2.7,138.97,4.88,0.44,360.107142857143,450.071428571429,653.821428571429,418.035714285714,785,554.25,572.5,505.642857142857,446.142857142857,657.214285714286,353.25,239.964285714286,456,405.928571428571,354.607142857143,0.331365949562699,0.38152790068357,0.202514040831537,0.202514040831537,0.797485959168463,218.193985959367,384.160441328137,1.62409768173737e-14,1072.10916763084,1572.06402637997,1040.92558338076,1780.44908142436,0.250288250730508,0.183761068675707,0.309343396534057,-0.22725657458875,0.396916343240821,0.0411114165513252,-0.044921173978679,-0.0667070189055051,1,-1,0.17722750801557,1,0.544570372350878,0.26657502147787,-0.210652043738475,28,1,"SRI1",1,362.527132419342
"SRI1_2",29.5,8.27,6.4,85.36,6.82,0.66,2707.33333333333,2331.66666666667,2125.66666666667,1653,1845.66666666667,1504,1392.66666666667,1227.33333333333,1189.66666666667,2531,653,493.666666666667,438,1653,NA,1.01113038450419,1.02392421323057,1.0073126142596,1.00655022295651,-0.00655022295651383,2562.66666666667,2572.66666666667,1761,2116.23404126581,2034.1307814992,1602.52060106641,1670.58894520879,0.305520143774649,0.267943388670653,0.0550703269422004,-0.125031999100249,0.529921711256724,-0.147863886741207,-0.170269755281177,0.343408722674869,0.0304692230910414,-0.184921774714949,0.584417640394331,-0.170817115220681,0.247397345298442,0.0207980611109723,-0.118627151376421,3,0.107142857142857,"SRI1",2,910.69109947644
"SRI1_3",29.2,8.23,4.2,177.07,8.4,0.54,359.607142857143,462.535714285714,651.25,420.785714285714,804.892857142857,621.142857142857,639.285714285714,534.607142857143,505.142857142857,576.892857142857,331.428571428571,217.285714285714,504,408.178571428571,359.535714285714,0.340195999191756,0.383122907050412,0.210530511708205,0.210530511708205,0.789469488291795,221.708404168934,371.36780834388,-1.62409768173737e-14,1501.25191264432,2330.88761632069,1718.19401504987,2966.80006318783,0.341748052497853,0.167398146175589,0.316919145882827,-0.223216864877084,0.452729354221309,0.0525071584850375,-0.0567110283717711,-0.094197076881474,1,-1,0.238753816976003,1,0.654148937386619,0.270183166407672,-0.159951560046872,28,1,"SRI1",3,410.59754601227
